"KEYWORDS_PERFORMANCE_REPORT (May 1, 2022-May 19, 2022)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
care in the home,599327580,86,5,14380000,0.00,5.81%,2022-05-16,0, --
home care service,484218579,5,0,0,0.00,0.00%,2022-05-19,0, --
home care agencies near me,327669292234,5,0,0,0.00,0.00%,2022-05-02,0, --
care in the home,599327580,46,3,8840000,0.00,6.52%,2022-05-03,0, --
care in the home,599327580,42,5,14640000,1.00,11.90%,2022-05-08,0, --
home care agencies near me,327669292234,5,0,0,0.00,0.00%,2022-05-08,0, --
traditional home health care,334986317268,1,1,910000,0.00,100.00%,2022-05-10,0, --
Home health service,756823098435,24,1,2900000,0.00,4.17%,2022-05-12,0, --
care in the home,599327580,55,5,14670000,0.00,9.09%,2022-05-15,0, --
elder care services,215231394,1,0,0,0.00,0.00%,2022-05-01,0, --
care in the home,599327580,127,5,14480000,1.00,3.94%,2022-05-02,0, --
home care service,484218579,5,0,0,0.00,0.00%,2022-05-05,0, --
in home nursing,587102515,1,0,0,0.00,0.00%,2022-05-06,0, --
care in the home,599327580,68,1,2680000,0.00,1.47%,2022-05-10,0, --
elder care services,215231394,1,0,0,0.00,0.00%,2022-05-11,0, --
home care agencies near me,327669292234,5,2,6770000,0.00,40.00%,2022-05-11,0, --
services for elderly,327515383,45,4,13560000,0.00,8.89%,2022-05-12,0, --
home care agencies near me,327669292234,3,0,0,0.00,0.00%,2022-05-17,0, --
home care agencies near me,327669292234,3,0,0,0.00,0.00%,2022-05-19,0, --
services for elderly,327515383,28,5,16990000,0.00,17.86%,2022-05-01,0, --
home care service,484218579,3,0,0,0.00,0.00%,2022-05-01,0, --
services for elderly,327515383,29,5,16480000,0.00,17.24%,2022-05-04,0, --
services for elderly,327515383,67,0,0,0.00,0.00%,2022-05-05,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-05,0, --
Home health service,756823098435,19,3,8890000,0.00,15.79%,2022-05-05,0, --
services for elderly,327515383,33,5,16860000,0.00,15.15%,2022-05-06,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-14,0, --
services for elderly,327515383,52,4,7850000,1.00,7.69%,2022-05-16,0, --
agency health care,301223870372,2,0,0,0.00,0.00%,2022-05-16,0, --
Home health service,756823098435,27,0,0,0.00,0.00%,2022-05-16,0, --
services for elderly,327515383,38,4,13700000,0.00,10.53%,2022-05-17,0, --
Home health service,756823098435,36,3,8480000,0.00,8.33%,2022-05-02,0, --
agency health care,301223870372,2,0,0,0.00,0.00%,2022-05-03,0, --
elder care services,215231394,1,0,0,0.00,0.00%,2022-05-07,0, --
services for elderly,327515383,53,3,10090000,0.00,5.66%,2022-05-11,0, --
Home health service,756823098435,31,1,2910000,0.00,3.23%,2022-05-14,0, --
home care agencies near me,327669292234,1,2,7860000,0.00,200.00%,2022-05-15,0, --
elder care services,215231394,2,0,0,0.00,0.00%,2022-05-19,0, --
in home nursing,587102515,2,0,0,0.00,0.00%,2022-05-01,0, --
elder care services,215231394,2,0,0,0.00,0.00%,2022-05-02,0, --
Home health service,756823098435,22,2,5630000,0.00,9.09%,2022-05-03,0, --
in home nursing,587102515,1,0,0,0.00,0.00%,2022-05-07,0, --
traditional home health services,844099079268,1,0,0,0.00,0.00%,2022-05-16,0, --
home care service,484218579,6,0,0,0.00,0.00%,2022-05-18,0, --
home care agencies near me,327669292234,1,0,0,0.00,0.00%,2022-05-01,0, --
home care agencies near me,327669292234,7,0,0,0.00,0.00%,2022-05-07,0, --
care in the home,599327580,55,5,14580000,0.00,9.09%,2022-05-09,0, --
home care service,484218579,14,0,0,0.00,0.00%,2022-05-13,0, --
Home health service,756823098435,17,5,13990000,0.00,29.41%,2022-05-18,0, --
home health service,1120570126,2,0,0,0.00,0.00%,2022-05-01,0, --
home health service,1120570126,1,0,0,0.00,0.00%,2022-05-05,0, --
care in the home,599327580,43,1,2930000,0.00,2.33%,2022-05-06,0, --
agency health care,301223870372,3,0,0,0.00,0.00%,2022-05-06,0, --
agency health care,301223870372,4,1,2190000,0.00,25.00%,2022-05-08,0, --
services for elderly,327515383,40,2,6850000,0.00,5.00%,2022-05-09,0, --
home health service,1120570126,1,0,0,0.00,0.00%,2022-05-09,0, --
services for elderly,327515383,74,1,3500000,0.00,1.35%,2022-05-14,0, --
Home health service,756823098435,9,1,2940000,0.00,11.11%,2022-05-15,0, --
care in the home,599327580,55,5,14750000,0.00,9.09%,2022-05-17,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-17,0, --
services for elderly,327515383,29,0,0,0.00,0.00%,2022-05-18,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-18,0, --
traditional home health care,334986317268,3,0,0,0.00,0.00%,2022-05-02,0, --
care in the home,599327580,35,3,8890000,0.00,8.57%,2022-05-04,0, --
elder care services,215231394,2,0,0,0.00,0.00%,2022-05-06,0, --
Home health service,756823098435,22,0,0,0.00,0.00%,2022-05-10,0, --
care in the home,599327580,96,4,11380000,0.00,4.17%,2022-05-14,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-15,0, --
care in the home,599327580,89,4,11660000,0.00,4.49%,2022-05-19,0, --
agency health care,301223870372,2,0,0,0.00,0.00%,2022-05-01,0, --
home health service,1120570126,1,0,0,0.00,0.00%,2022-05-02,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-02,0, --
agency health care,301223870372,2,0,0,0.00,0.00%,2022-05-11,0, --
services for elderly,327515383,81,2,6340000,0.00,2.47%,2022-05-13,0, --
care in the home,599327580,80,4,11690000,1.00,5.00%,2022-05-13,0, --
home care service,484218579,3,0,0,0.00,0.00%,2022-05-17,0, --
Home health service,756823098435,12,1,2970000,0.00,8.33%,2022-05-17,0, --
Home health service,756823098435,44,2,5660000,0.00,4.55%,2022-05-19,0, --
home care service,484218579,5,0,0,0.00,0.00%,2022-05-02,0, --
home care service,484218579,3,0,0,0.00,0.00%,2022-05-03,0, --
in home nursing services near me,485251059117,1,0,0,0.00,0.00%,2022-05-05,0, --
traditional home health care,334986317268,1,1,1010000,0.00,100.00%,2022-05-06,0, --
home care service,484218579,3,0,0,0.00,0.00%,2022-05-07,0, --
care in the home,599327580,65,2,5960000,1.00,3.08%,2022-05-11,0, --
Home health service,756823098435,19,0,0,0.00,0.00%,2022-05-11,0, --
care in the home,599327580,48,5,14410000,0.00,10.42%,2022-05-12,0, --
in home nursing,587102515,1,0,0,0.00,0.00%,2022-05-13,0, --
traditions home health,305814066679,1,0,0,0.00,0.00%,2022-05-14,0, --
traditional home health care,334986317268,1,0,0,0.00,0.00%,2022-05-19,0, --
services for elderly,327515383,61,4,13520000,0.00,6.56%,2022-05-19,0, --
care in the home,599327580,43,3,8710000,1.00,6.98%,2022-05-01,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-04,0, --
care in the home,599327580,79,4,11570000,1.00,5.06%,2022-05-07,0, --
home care service,484218579,5,0,0,0.00,0.00%,2022-05-10,0, --
home care agencies near me,327669292234,4,0,0,0.00,0.00%,2022-05-06,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-19,0, --
Home health service,756823098435,10,1,2930000,0.00,10.00%,2022-05-01,0, --
services for elderly,327515383,115,2,6930000,0.00,1.74%,2022-05-02,0, --
Home health service,756823098435,9,1,2950000,0.00,11.11%,2022-05-04,0, --
home care agencies near me,327669292234,4,0,0,0.00,0.00%,2022-05-05,0, --
Home health service,756823098435,29,3,8860000,0.00,10.34%,2022-05-08,0, --
home care service,484218579,3,0,0,0.00,0.00%,2022-05-09,0, --
home care service,484218579,7,0,0,0.00,0.00%,2022-05-11,0, --
home care service,484218579,7,0,0,0.00,0.00%,2022-05-14,0, --
services for elderly,327515383,30,1,3430000,0.00,3.33%,2022-05-15,0, --
home care service,484218579,3,0,0,0.00,0.00%,2022-05-15,0, --
care in the home,599327580,50,6,17300000,1.00,12.00%,2022-05-05,0, --
in home nursing,587102515,1,0,0,0.00,0.00%,2022-05-09,0, --
home care service,484218579,10,1,2910000,0.00,10.00%,2022-05-12,0, --
agency health care,301223870372,2,0,0,0.00,0.00%,2022-05-13,0, --
home care agencies near me,327669292234,4,1,3990000,0.00,25.00%,2022-05-14,0, --
home health service,1120570126,2,1,3040000,0.00,50.00%,2022-05-04,0, --
home care agencies near me,327669292234,2,0,0,0.00,0.00%,2022-05-04,0, --
elder care services,215231394,1,0,0,0.00,0.00%,2022-05-05,0, --
services for elderly,327515383,45,1,3410000,0.00,2.22%,2022-05-08,0, --
in home nursing services near me,485251059117,1,0,0,0.00,0.00%,2022-05-13,0, --
home care service,484218579,11,1,3050000,0.00,9.09%,2022-05-16,0, --
home care agencies near me,327669292234,4,1,3940000,0.00,25.00%,2022-05-16,0, --
care in the home,599327580,55,3,8870000,1.00,5.45%,2022-05-18,0, --
home care agencies near me,327669292234,3,2,7860000,0.00,66.67%,2022-05-18,0, --
services for elderly,327515383,45,3,10130000,0.00,6.67%,2022-05-03,0, --
Home health service,756823098435,20,2,5650000,0.00,10.00%,2022-05-09,0, --
in home nursing,587102515,1,0,0,0.00,0.00%,2022-05-10,0, --
home care agencies near me,327669292234,4,0,0,0.00,0.00%,2022-05-12,0, --
elder care services,215231394,2,0,0,0.00,0.00%,2022-05-18,0, --
traditional home health services,844099079268,1,2,3960000,0.00,200.00%,2022-05-03,0, --
home care service,484218579,12,0,0,0.00,0.00%,2022-05-06,0, --
Home health service,756823098435,24,3,8600000,0.00,12.50%,2022-05-06,0, --
services for elderly,327515383,39,3,10500000,0.00,7.69%,2022-05-07,0, --
Home health service,756823098435,14,2,5750000,0.00,14.29%,2022-05-07,0, --
agency health care,301223870372,4,1,2160000,0.00,25.00%,2022-05-09,0, --
services for elderly,327515383,74,6,20660000,2.00,8.11%,2022-05-10,0, --
traditional home health services,844099079268,1,1,1670000,0.00,100.00%,2022-05-11,0, --
agency health care,301223870372,1,0,0,0.00,0.00%,2022-05-12,0, --
in home nursing services near me,485251059117,1,0,0,0.00,0.00%,2022-05-02,0, --
home care agencies near me,327669292234,3,0,0,0.00,0.00%,2022-05-10,0, --
home care agencies near me,327669292234,7,0,0,0.00,0.00%,2022-05-13,0, --
Home health service,756823098435,36,2,5470000,0.00,5.56%,2022-05-13,0, --
traditions home health services,651989584738,2,0,0,0.00,0.00%,2022-05-17,0, --
home caregiver services,281841481,1,0,0,0.00,0.00%,2022-05-11,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-12,0, --
traditions home health services,651989584738,4,1,800000,0.00,25.00%,2022-05-19,0, --
tradition home care,459833949975,1,0,0,0.00,0.00%,2022-05-06,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-08,0, --
tradition home care,459833949975,1,0,0,0.00,0.00%,2022-05-12,0, --
tradition home care,459833949975,1,0,0,0.00,0.00%,2022-05-14,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-10,0, --
home caregiver,255417919,1,0,0,0.00,0.00%,2022-05-01,0, --
traditions home health services,651989584738,4,1,1650000,0.00,25.00%,2022-05-14,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-16,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-11,0, --
traditions home health and hospice,1212618032358,2,0,0,0.00,0.00%,2022-05-02,0, --
traditions home health services,651989584738,2,0,0,0.00,0.00%,2022-05-18,0, --
traditions home health services,651989584738,1,2,3440000,0.00,200.00%,2022-05-03,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-07,0, --
traditions home health services,651989584738,4,1,1230000,0.00,25.00%,2022-05-02,0, --
home caregiver,255417919,2,0,0,0.00,0.00%,2022-05-08,0, --
in home nursing care near me,335135278720,1,0,0,0.00,0.00%,2022-05-14,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-06,0, --
traditions home health services,651989584738,2,1,1510000,0.00,50.00%,2022-05-01,0, --
home caregiver,255417919,1,0,0,0.00,0.00%,2022-05-04,0, --
tradition home care,459833949975,1,1,1460000,1.00,100.00%,2022-05-10,0, --
traditions home health services,651989584738,1,0,0,0.00,0.00%,2022-05-15,0, --
traditions home health and hospice,1212618032358,1,0,0,0.00,0.00%,2022-05-19,0, --
home caregiver services,281841481,1,0,0,0.00,0.00%,2022-05-08,0, --
tradition home care,459833949975,1,0,0,0.00,0.00%,2022-05-09,0, --
traditions home health services,651989584738,3,2,1100000,2.00,66.67%,2022-05-13,0, --
care at home,160833664,6,0,0,0.00,0.00%,2022-05-16,0, --
adult day care services,298685684817,1,0,0,0.00,0.00%,2022-05-07,0, --
in home nursing care,160833624,2,0,0,0.00,0.00%,2022-05-09,0, --
care at home,160833664,4,0,0,0.00,0.00%,2022-05-12,0, --
in home nursing care,160833624,1,0,0,0.00,0.00%,2022-05-13,0, --
in home nursing care,160833624,1,0,0,0.00,0.00%,2022-05-14,0, --
in home nursing care,160833624,4,0,0,0.00,0.00%,2022-05-16,0, --
care at home,160833664,5,0,0,0.00,0.00%,2022-05-19,0, --
in home nursing care,160833624,1,1,3510000,0.00,100.00%,2022-05-05,0, --
adult day care services,298685684817,3,0,0,0.00,0.00%,2022-05-05,0, --
elder service,297340403719,1,0,0,0.00,0.00%,2022-05-09,0, --
elder service,297340403719,2,0,0,0.00,0.00%,2022-05-11,0, --
elder service,297340403719,4,0,0,0.00,0.00%,2022-05-14,0, --
elder service,297340403719,2,0,0,0.00,0.00%,2022-05-05,0, --
care at home,160833664,21,1,2820000,0.00,4.76%,2022-05-07,0, --
adult day care services,298685684817,2,0,0,0.00,0.00%,2022-05-10,0, --
elder service,297340403719,2,0,0,0.00,0.00%,2022-05-07,0, --
adult day care services,298685684817,1,1,910000,0.00,100.00%,2022-05-08,0, --
adult day care services,298685684817,4,0,0,0.00,0.00%,2022-05-12,0, --
care at home,160833664,7,0,0,0.00,0.00%,2022-05-15,0, --
in home nursing care,160833624,2,0,0,0.00,0.00%,2022-05-01,0, --
adult day care services,298685684817,2,0,0,0.00,0.00%,2022-05-15,0, --
elder service,297340403719,1,0,0,0.00,0.00%,2022-05-12,0, --
adult day care services,298685684817,2,0,0,0.00,0.00%,2022-05-17,0, --
care at home,160833664,2,0,0,0.00,0.00%,2022-05-04,0, --
care at home,160833664,9,2,5500000,0.00,22.22%,2022-05-06,0, --
adult day care services,298685684817,2,0,0,0.00,0.00%,2022-05-06,0, --
care at home,160833664,8,0,0,0.00,0.00%,2022-05-08,0, --
care at home,160833664,7,1,2740000,0.00,14.29%,2022-05-11,0, --
elder service,297340403719,3,0,0,0.00,0.00%,2022-05-17,0, --
elder service,297340403719,3,0,0,0.00,0.00%,2022-05-03,0, --
in home nursing care,160833624,3,0,0,0.00,0.00%,2022-05-07,0, --
elder service,297340403719,6,0,0,0.00,0.00%,2022-05-16,0, --
elder service,297340403719,1,0,0,0.00,0.00%,2022-05-18,0, --
elder service,297340403719,7,0,0,0.00,0.00%,2022-05-19,0, --
care at home,160833664,4,0,0,0.00,0.00%,2022-05-01,0, --
in home nursing care,160833624,2,0,0,0.00,0.00%,2022-05-02,0, --
care at home,160833664,9,1,2840000,0.00,11.11%,2022-05-05,0, --
care at home,160833664,16,1,2770000,0.00,6.25%,2022-05-10,0, --
care at home,160833664,18,1,2660000,0.00,5.56%,2022-05-14,0, --
elder service,297340403719,1,0,0,0.00,0.00%,2022-05-15,0, --
care at home,160833664,5,0,0,0.00,0.00%,2022-05-17,0, --
care at home,160833664,17,0,0,0.00,0.00%,2022-05-02,0, --
elder service,297340403719,6,2,3920000,0.00,33.33%,2022-05-02,0, --
in home nursing care,160833624,1,0,0,0.00,0.00%,2022-05-04,0, --
care at home,160833664,11,1,2770000,0.00,9.09%,2022-05-09,0, --
in home nursing care,160833624,3,0,0,0.00,0.00%,2022-05-17,0, --
adult day care services,298685684817,2,0,0,0.00,0.00%,2022-05-19,0, --
adult day care services,298685684817,3,0,0,0.00,0.00%,2022-05-01,0, --
care at home,160833664,10,0,0,0.00,0.00%,2022-05-03,0, --
in home nursing care,160833624,8,0,0,0.00,0.00%,2022-05-08,0, --
in home nursing care,160833624,3,1,3380000,0.00,33.33%,2022-05-10,0, --
adult day care services,298685684817,5,0,0,0.00,0.00%,2022-05-11,0, --
adult day care services,298685684817,8,0,0,0.00,0.00%,2022-05-13,0, --
in home nursing care,160833624,3,0,0,0.00,0.00%,2022-05-19,0, --
elder service,297340403719,1,1,2000000,0.00,100.00%,2022-05-01,0, --
adult day care services,298685684817,1,0,0,0.00,0.00%,2022-05-04,0, --
elder service,297340403719,5,1,2010000,0.00,20.00%,2022-05-10,0, --
care at home,160833664,18,2,5700000,0.00,11.11%,2022-05-13,0, --
elder service,297340403719,6,0,0,0.00,0.00%,2022-05-13,0, --
in home nursing care,160833624,3,0,0,0.00,0.00%,2022-05-18,0, --
in home nursing care,160833624,2,0,0,0.00,0.00%,2022-05-06,0, --
care at home,160833664,3,0,0,0.00,0.00%,2022-05-18,0, --
in home nursing care,160833624,2,1,3270000,0.00,50.00%,2022-05-11,0, --
in home nursing care,160833624,3,0,0,0.00,0.00%,2022-05-15,0, --
adult day care services,298685684817,4,2,1940000,0.00,50.00%,2022-05-16,0, --
adult day care services,298685684817,3,0,0,0.00,0.00%,2022-05-03,0, --
adult day care services,298685684817,7,0,0,0.00,0.00%,2022-05-09,0, --
Total, --,3228,208,599020000,14.00,6.44%, --, --, --
